Id,Frame,Distance,Horizontal Distance,Vertical Distance,Height,Velocity,Acceleration
0,32,0.016,0.012,0.004,1.26,0.715,0.715
1,34,0.046,0.035,0.011,1.252,1.385,0.67
2,36,0.082,0.06,0.023,1.24,1.486,0.101
3,38,0.109,0.082,0.027,1.235,1.346,-0.141
4,40,0.128,0.1,0.028,1.234,1.06,-0.286
5,42,0.151,0.122,0.029,1.235,1.302,0.242
6,44,0.176,0.147,0.029,1.235,1.501,0.2
7,46,0.198,0.168,0.03,1.235,1.263,-0.239
8,48,0.224,0.191,0.033,1.237,1.394,0.132
9,50,0.258,0.213,0.046,1.25,1.296,-0.099
10,52,0.289,0.233,0.056,1.259,1.23,-0.066
11,54,0.322,0.257,0.066,1.268,1.417,0.188
12,56,0.354,0.281,0.074,1.276,1.43,0.013
13,58,0.384,0.305,0.079,1.281,1.449,0.019
14,60,0.412,0.326,0.086,1.287,1.283,-0.167
15,62,0.436,0.347,0.089,1.29,1.232,-0.051
16,64,0.458,0.367,0.092,1.292,1.197,-0.035
17,66,0.482,0.387,0.095,1.288,1.204,0.007
18,68,0.505,0.408,0.097,1.286,1.282,0.078
19,70,0.534,0.43,0.103,1.278,1.322,0.04
20,72,0.562,0.448,0.113,1.268,1.087,-0.235
21,74,0.593,0.47,0.123,1.258,1.309,0.222
22,76,0.624,0.492,0.132,1.249,1.3,-0.009
23,78,0.646,0.509,0.137,1.243,1.014,-0.286
24,80,0.666,0.529,0.137,1.242,1.201,0.187
25,82,0.684,0.546,0.139,1.24,1.005,-0.196
26,84,0.709,0.57,0.139,1.239,1.444,0.44
27,86,0.735,0.595,0.14,1.237,1.488,0.044
28,88,0.759,0.617,0.143,1.239,1.316,-0.173
29,90,0.787,0.641,0.146,1.242,1.447,0.131
30,92,0.825,0.663,0.162,1.257,1.355,-0.092
31,94,0.857,0.688,0.17,1.265,1.455,0.1
32,96,0.891,0.712,0.178,1.273,1.49,0.035
33,98,0.924,0.738,0.186,1.28,1.516,0.026
34,100,0.953,0.761,0.191,1.285,1.406,-0.109
35,102,0.983,0.785,0.198,1.291,1.438,0.032
36,104,1.005,0.806,0.199,1.291,1.272,-0.166
37,106,1.032,0.832,0.2,1.292,1.561,0.289
38,108,1.057,0.856,0.2,1.291,1.44,-0.121
39,110,1.084,0.881,0.202,1.289,1.5,0.06
40,112,1.108,0.903,0.205,1.286,1.304,-0.196
